customer_age,customer_region,customer_tenure_months,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,complaints_count,real_is_detractor,risk_score,segmento_risco,acao_recomendada
48,Centro-Oeste,116,454.45,1,15.58,8,8,3,32.91,2,2,5,5,0,0.97,Crítico,Atendimento imediato + comunicação proativa
69,Norte,78,178.72,5,47.03,4,9,1,26.82,3,3,2,8,1,0.81,Crítico,Atendimento imediato + comunicação proativa
57,Nordeste,17,314.17,6,121.0,3,8,7,44.65,1,1,1,4,1,0.93,Crítico,Atendimento imediato + comunicação proativa
18,Norte,79,283.05,2,59.35,11,10,1,44.55,2,2,5,4,1,0.8,Crítico,Atendimento imediato + comunicação proativa
18,Norte,5,276.35,4,1.92,4,10,2,38.63,1,1,2,6,1,0.79,Crítico,Atendimento imediato + comunicação proativa
31,Norte,4,440.81,5,13.03,4,8,2,44.41,1,1,3,3,1,0.57,Atenção,Monitorar pedido + contato preventivo
69,Norte,41,218.24,2,5.93,4,3,0,37.24,2,4,5,5,0,0.79,Crítico,Atendimento imediato + comunicação proativa
22,Centro-Oeste,71,706.42,5,61.23,5,4,0,24.83,3,1,3,1,0,0.14,Regular,Fluxo padrão
22,Nordeste,79,412.31,1,115.2,7,8,3,20.64,2,1,3,4,1,0.9,Crítico,Atendimento imediato + comunicação proativa
65,Centro-Oeste,60,219.5,4,40.8,10,13,3,25.12,1,1,4,3,1,0.87,Crítico,Atendimento imediato + comunicação proativa
42,Norte,88,224.97,4,49.87,1,3,1,32.55,2,2,1,4,1,0.59,Atenção,Monitorar pedido + contato preventivo
36,Centro-Oeste,109,285.91,4,82.01,3,5,1,34.0,1,7,9,11,1,0.95,Crítico,Atendimento imediato + comunicação proativa
54,Sul,97,676.14,1,2.96,1,6,4,32.27,3,0,1,2,1,0.67,Atenção,Monitorar pedido + contato preventivo
23,Sul,41,355.38,4,42.97,2,8,1,34.48,3,1,3,3,0,0.33,Monitoramento,Acompanhar indicadores operacionais
40,Sul,16,555.7,3,3.58,11,14,3,33.07,3,3,0,6,1,0.94,Crítico,Atendimento imediato + comunicação proativa
20,Nordeste,74,278.49,6,26.36,9,2,3,49.74,1,2,2,4,1,0.96,Crítico,Atendimento imediato + comunicação proativa
33,Centro-Oeste,2,892.36,3,31.72,11,2,3,35.06,3,1,7,4,1,0.96,Crítico,Atendimento imediato + comunicação proativa
29,Norte,32,34.42,6,6.89,4,5,3,33.23,1,1,10,3,1,0.9,Crítico,Atendimento imediato + comunicação proativa
35,Sul,47,194.03,2,66.69,7,4,3,15.05,3,1,9,5,1,0.94,Crítico,Atendimento imediato + comunicação proativa
20,Sul,1,458.95,2,9.51,10,6,4,28.23,3,0,10,3,1,0.91,Crítico,Atendimento imediato + comunicação proativa
57,Sul,15,155.46,3,12.52,10,7,1,44.49,3,0,3,2,0,0.27,Regular,Fluxo padrão
64,Centro-Oeste,20,437.14,3,4.83,11,8,3,34.23,1,2,1,5,1,0.93,Crítico,Atendimento imediato + comunicação proativa
34,Sul,43,385.1,1,0.24,6,13,1,60.32,1,1,2,3,0,0.5,Atenção,Monitorar pedido + contato preventivo
69,Nordeste,99,232.1,4,47.45,7,6,2,43.75,3,1,1,3,1,0.61,Atenção,Monitorar pedido + contato preventivo
59,Centro-Oeste,117,155.44,5,39.09,11,3,5,43.63,3,0,5,4,1,0.94,Crítico,Atendimento imediato + comunicação proativa
67,Sudeste,111,92.17,3,28.32,2,9,2,28.15,3,1,8,2,0,0.6,Atenção,Monitorar pedido + contato preventivo
49,Nordeste,105,297.92,1,4.48,7,4,1,27.89,3,1,11,5,1,0.87,Crítico,Atendimento imediato + comunicação proativa
51,Sudeste,15,1070.81,3,68.36,10,4,2,32.49,3,2,11,5,1,0.88,Crítico,Atendimento imediato + comunicação proativa
49,Nordeste,7,94.23,1,21.63,3,7,1,58.3,3,1,11,3,1,0.65,Atenção,Monitorar pedido + contato preventivo
60,Nordeste,41,484.08,3,13.24,11,11,5,28.93,1,0,0,2,1,0.73,Atenção,Monitorar pedido + contato preventivo
21,Norte,73,493.06,3,43.42,6,7,2,35.2,3,1,8,3,1,0.57,Atenção,Monitorar pedido + contato preventivo
30,Sudeste,114,1248.46,5,59.49,11,4,4,65.58,3,1,10,3,1,0.91,Crítico,Atendimento imediato + comunicação proativa
20,Centro-Oeste,6,327.13,1,53.02,2,4,2,49.03,3,2,11,5,0,0.87,Crítico,Atendimento imediato + comunicação proativa
36,Norte,7,859.15,2,67.46,5,5,3,32.79,2,6,10,10,1,0.95,Crítico,Atendimento imediato + comunicação proativa
44,Centro-Oeste,67,237.97,4,8.39,6,14,3,30.49,2,1,2,5,0,0.97,Crítico,Atendimento imediato + comunicação proativa
34,Norte,26,450.67,3,32.51,6,11,0,35.8,2,0,11,2,0,0.41,Monitoramento,Acompanhar indicadores operacionais
46,Nordeste,92,355.29,1,10.24,4,13,1,41.51,1,3,1,6,0,0.73,Atenção,Monitorar pedido + contato preventivo
62,Nordeste,7,323.25,3,12.78,4,12,4,47.3,2,3,8,8,1,0.97,Crítico,Atendimento imediato + comunicação proativa
38,Nordeste,26,496.26,3,33.99,10,14,3,45.66,2,2,2,5,0,1.0,Crítico,Atendimento imediato + comunicação proativa
66,Centro-Oeste,79,290.63,1,16.14,5,7,3,47.3,2,1,3,4,1,0.99,Crítico,Atendimento imediato + comunicação proativa
36,Norte,96,912.65,1,6.72,11,4,5,40.62,3,5,0,8,1,0.95,Crítico,Atendimento imediato + comunicação proativa
63,Nordeste,29,640.32,1,3.91,5,9,3,46.03,1,0,0,5,1,0.78,Crítico,Atendimento imediato + comunicação proativa
38,Norte,72,450.17,3,41.27,5,3,1,30.13,3,2,4,5,0,0.72,Atenção,Monitorar pedido + contato preventivo
53,Norte,103,139.18,1,21.63,5,6,4,19.4,2,2,3,5,1,0.97,Crítico,Atendimento imediato + comunicação proativa
56,Norte,50,253.06,1,29.37,11,13,1,39.32,1,1,0,3,0,0.35,Monitoramento,Acompanhar indicadores operacionais
60,Sul,3,98.9,5,36.1,6,12,1,35.82,3,0,7,3,1,0.63,Atenção,Monitorar pedido + contato preventivo
41,Sudeste,76,217.9,5,9.85,5,9,3,21.86,3,0,6,4,0,0.84,Crítico,Atendimento imediato + comunicação proativa
32,Sul,55,107.37,4,121.72,2,12,1,22.03,3,4,10,8,1,0.9,Crítico,Atendimento imediato + comunicação proativa
50,Norte,20,375.96,5,1.03,7,11,1,28.12,1,0,6,1,0,0.15,Regular,Fluxo padrão
29,Sul,58,525.95,5,9.27,6,11,0,47.18,1,1,1,4,0,0.34,Monitoramento,Acompanhar indicadores operacionais
38,Sudeste,117,569.52,5,0.14,11,5,2,33.96,2,0,4,3,1,0.72,Atenção,Monitorar pedido + contato preventivo
32,Sudeste,71,315.43,2,5.95,11,8,0,48.75,3,0,8,1,0,0.16,Regular,Fluxo padrão
39,Centro-Oeste,112,531.95,1,51.91,7,13,3,51.81,2,1,8,3,1,0.91,Crítico,Atendimento imediato + comunicação proativa
47,Sudeste,37,245.24,6,12.29,8,3,3,31.88,2,0,8,3,1,0.94,Crítico,Atendimento imediato + comunicação proativa
52,Sudeste,59,383.99,2,11.63,4,9,1,49.46,3,0,4,1,0,0.23,Regular,Fluxo padrão
46,Nordeste,57,537.08,6,9.44,2,12,2,38.06,3,2,11,5,0,0.87,Crítico,Atendimento imediato + comunicação proativa
54,Sul,77,247.08,6,6.83,3,12,3,50.98,1,0,9,2,1,0.76,Crítico,Atendimento imediato + comunicação proativa
49,Nordeste,119,689.0,4,34.24,3,14,2,28.21,1,3,3,7,1,0.85,Crítico,Atendimento imediato + comunicação proativa
67,Centro-Oeste,52,657.4,1,11.73,4,12,3,51.45,1,1,8,4,1,0.95,Crítico,Atendimento imediato + comunicação proativa
34,Sudeste,61,94.49,3,3.7,7,11,1,63.15,1,3,11,7,1,0.91,Crítico,Atendimento imediato + comunicação proativa
29,Centro-Oeste,117,202.43,4,4.8,10,4,3,25.72,3,0,7,4,1,0.93,Crítico,Atendimento imediato + comunicação proativa
20,Norte,61,370.21,3,24.93,10,7,1,41.49,3,2,2,5,0,0.7,Atenção,Monitorar pedido + contato preventivo
19,Norte,92,923.27,2,13.42,3,4,2,58.04,1,4,6,6,1,0.97,Crítico,Atendimento imediato + comunicação proativa
42,Nordeste,105,249.4,4,19.76,3,14,3,12.01,2,1,3,4,1,0.92,Crítico,Atendimento imediato + comunicação proativa
38,Sudeste,100,370.99,1,23.05,11,4,3,33.71,1,0,2,4,1,0.98,Crítico,Atendimento imediato + comunicação proativa
69,Sudeste,73,483.66,2,20.82,10,3,3,39.08,3,1,7,5,1,0.94,Crítico,Atendimento imediato + comunicação proativa
22,Centro-Oeste,5,199.27,3,67.34,10,5,3,38.63,3,1,9,4,1,0.91,Crítico,Atendimento imediato + comunicação proativa
63,Norte,114,491.93,4,39.3,1,11,0,30.19,3,3,11,4,1,0.68,Atenção,Monitorar pedido + contato preventivo
24,Centro-Oeste,95,576.06,5,47.06,6,4,1,23.26,2,1,4,4,1,0.6,Atenção,Monitorar pedido + contato preventivo
45,Norte,49,179.06,5,6.13,6,8,3,47.87,2,1,7,7,1,0.98,Crítico,Atendimento imediato + comunicação proativa
38,Sul,50,755.61,1,10.68,9,3,2,37.91,2,3,11,5,1,0.9,Crítico,Atendimento imediato + comunicação proativa
42,Nordeste,81,431.58,1,23.33,7,4,3,42.27,3,1,7,5,1,0.95,Crítico,Atendimento imediato + comunicação proativa
55,Centro-Oeste,82,621.1,2,53.62,10,2,1,37.52,2,1,5,3,1,0.59,Atenção,Monitorar pedido + contato preventivo
35,Sudeste,62,249.43,6,19.09,9,9,2,40.37,2,5,0,7,1,0.78,Crítico,Atendimento imediato + comunicação proativa
34,Norte,39,200.12,5,3.02,4,10,1,56.3,3,1,4,3,1,0.39,Monitoramento,Acompanhar indicadores operacionais
23,Centro-Oeste,7,129.37,3,15.75,10,13,1,27.37,3,2,9,5,1,0.78,Crítico,Atendimento imediato + comunicação proativa
61,Sul,83,505.43,3,19.01,2,5,2,43.18,1,3,1,7,1,0.93,Crítico,Atendimento imediato + comunicação proativa
40,Norte,56,98.69,4,15.38,11,10,2,45.74,1,2,8,7,1,0.94,Crítico,Atendimento imediato + comunicação proativa
49,Centro-Oeste,46,121.59,2,6.08,8,13,2,42.14,3,0,1,3,0,0.5,Atenção,Monitorar pedido + contato preventivo
27,Centro-Oeste,10,446.45,3,12.22,1,4,4,19.24,3,2,3,5,1,0.95,Crítico,Atendimento imediato + comunicação proativa
23,Norte,76,459.81,2,35.71,8,2,1,17.47,2,0,7,3,0,0.63,Atenção,Monitorar pedido + contato preventivo
37,Sudeste,53,268.01,5,9.27,6,4,3,46.55,1,1,3,3,1,0.94,Crítico,Atendimento imediato + comunicação proativa
38,Norte,32,584.26,4,197.07,11,3,3,30.05,2,0,0,2,1,0.52,Atenção,Monitorar pedido + contato preventivo
42,Nordeste,62,669.71,4,48.75,5,14,1,23.83,1,1,8,5,1,0.84,Crítico,Atendimento imediato + comunicação proativa
50,Norte,70,391.66,4,0.25,11,3,2,59.78,2,1,6,4,1,0.78,Crítico,Atendimento imediato + comunicação proativa
22,Norte,8,382.37,4,86.84,10,14,6,46.75,3,0,5,3,1,0.82,Crítico,Atendimento imediato + comunicação proativa
62,Sul,62,577.56,5,32.7,2,2,0,49.52,3,4,10,5,0,0.8,Crítico,Atendimento imediato + comunicação proativa
54,Centro-Oeste,7,160.92,1,14.39,11,5,7,51.92,3,1,5,5,1,0.96,Crítico,Atendimento imediato + comunicação proativa
29,Sul,15,182.19,2,18.18,3,11,1,45.48,1,1,9,3,1,0.5,Atenção,Monitorar pedido + contato preventivo
58,Norte,11,47.07,1,50.24,3,7,2,32.58,1,1,11,4,1,0.92,Crítico,Atendimento imediato + comunicação proativa
38,Sudeste,26,323.22,6,48.95,9,13,0,22.17,2,1,6,1,0,0.21,Regular,Fluxo padrão
48,Centro-Oeste,101,560.33,2,6.72,8,9,3,23.73,2,1,11,4,1,0.94,Crítico,Atendimento imediato + comunicação proativa
50,Centro-Oeste,87,742.01,2,140.46,5,2,1,28.15,1,1,10,3,1,0.55,Atenção,Monitorar pedido + contato preventivo
30,Nordeste,69,409.06,3,25.03,6,4,1,41.93,2,2,8,5,1,0.82,Crítico,Atendimento imediato + comunicação proativa
55,Nordeste,113,261.42,4,28.92,3,9,1,16.29,3,1,10,3,0,0.56,Atenção,Monitorar pedido + contato preventivo
19,Centro-Oeste,4,198.26,4,19.24,11,6,5,37.36,2,2,7,4,1,0.98,Crítico,Atendimento imediato + comunicação proativa
60,Centro-Oeste,79,114.98,2,51.09,11,7,2,23.4,3,1,6,3,1,0.73,Atenção,Monitorar pedido + contato preventivo
48,Norte,9,785.3,6,3.17,10,12,1,39.0,2,1,8,6,1,0.82,Crítico,Atendimento imediato + comunicação proativa
64,Centro-Oeste,75,125.8,1,5.47,4,4,2,48.35,3,6,7,8,1,0.93,Crítico,Atendimento imediato + comunicação proativa
34,Norte,95,172.0,4,14.71,10,2,4,24.84,2,2,4,4,1,0.96,Crítico,Atendimento imediato + comunicação proativa
51,Sudeste,89,132.83,1,48.84,1,11,2,21.01,3,2,3,6,1,0.91,Crítico,Atendimento imediato + comunicação proativa
51,Sul,112,265.31,1,31.87,10,6,1,44.13,1,2,11,7,1,0.88,Crítico,Atendimento imediato + comunicação proativa
39,Sudeste,62,143.57,5,75.76,6,2,2,52.09,2,1,11,4,1,0.92,Crítico,Atendimento imediato + comunicação proativa
45,Norte,40,351.48,2,32.49,5,14,0,29.2,2,3,7,4,1,0.63,Atenção,Monitorar pedido + contato preventivo
32,Norte,46,150.41,6,0.05,10,6,3,24.36,1,0,3,4,1,0.87,Crítico,Atendimento imediato + comunicação proativa
65,Sul,83,397.15,5,6.08,11,7,1,39.49,2,0,5,2,0,0.31,Monitoramento,Acompanhar indicadores operacionais
62,Sudeste,80,489.05,4,89.59,2,14,1,49.71,3,2,2,5,1,0.9,Crítico,Atendimento imediato + comunicação proativa
32,Centro-Oeste,31,208.36,4,15.1,5,4,0,45.32,2,1,10,1,0,0.27,Regular,Fluxo padrão
67,Norte,85,638.29,2,31.65,10,6,1,47.35,2,1,3,2,0,0.3,Monitoramento,Acompanhar indicadores operacionais
59,Nordeste,32,221.34,1,47.42,1,12,2,28.51,1,1,5,3,1,0.75,Crítico,Atendimento imediato + comunicação proativa
23,Centro-Oeste,40,307.57,5,13.19,5,12,0,54.67,1,3,1,3,0,0.36,Monitoramento,Acompanhar indicadores operacionais
67,Sudeste,15,340.13,5,4.8,2,7,0,21.06,3,1,4,5,0,0.64,Atenção,Monitorar pedido + contato preventivo
21,Norte,103,526.18,4,38.15,9,2,1,41.84,1,0,11,6,1,0.83,Crítico,Atendimento imediato + comunicação proativa
68,Norte,111,349.57,3,42.01,10,2,2,39.17,2,3,9,7,1,0.95,Crítico,Atendimento imediato + comunicação proativa
57,Centro-Oeste,58,102.93,5,21.66,11,14,0,45.55,3,1,3,1,0,0.16,Regular,Fluxo padrão
36,Sudeste,103,477.73,2,22.94,8,3,3,54.52,3,0,3,2,1,0.84,Crítico,Atendimento imediato + comunicação proativa
60,Sul,37,428.76,4,29.54,10,11,5,44.5,1,0,2,2,1,0.77,Crítico,Atendimento imediato + comunicação proativa
32,Norte,112,572.3,4,21.25,8,10,4,36.76,2,2,2,5,1,0.95,Crítico,Atendimento imediato + comunicação proativa
23,Norte,116,284.14,5,38.98,4,4,4,49.83,2,3,11,6,1,1.0,Crítico,Atendimento imediato + comunicação proativa
44,Sudeste,8,68.3,6,19.24,5,4,1,62.88,2,1,9,4,1,0.85,Crítico,Atendimento imediato + comunicação proativa
41,Sul,85,350.94,6,0.36,9,9,1,46.38,1,3,10,5,1,0.9,Crítico,Atendimento imediato + comunicação proativa
42,Sul,111,753.74,1,11.66,10,11,1,37.08,2,5,8,7,1,0.97,Crítico,Atendimento imediato + comunicação proativa
56,Sudeste,111,363.18,1,28.02,8,6,2,29.16,3,0,5,2,0,0.59,Atenção,Monitorar pedido + contato preventivo
49,Centro-Oeste,112,373.64,6,31.31,1,14,2,19.46,3,0,2,2,0,0.54,Atenção,Monitorar pedido + contato preventivo
68,Sudeste,119,559.41,3,81.77,9,12,3,50.28,2,1,8,3,1,0.91,Crítico,Atendimento imediato + comunicação proativa
45,Centro-Oeste,116,182.12,6,0.19,5,8,2,45.9,2,3,0,5,1,0.75,Crítico,Atendimento imediato + comunicação proativa
38,Sudeste,60,623.26,3,22.28,9,14,2,58.16,2,1,6,4,1,0.79,Crítico,Atendimento imediato + comunicação proativa
37,Sudeste,62,40.76,2,23.68,2,5,1,17.34,2,1,2,3,1,0.64,Atenção,Monitorar pedido + contato preventivo
61,Sudeste,66,516.25,5,2.78,2,14,2,46.83,3,0,6,1,0,0.39,Monitoramento,Acompanhar indicadores operacionais
69,Sul,21,456.68,1,7.54,1,5,2,45.04,1,1,9,3,1,0.77,Crítico,Atendimento imediato + comunicação proativa
60,Sul,26,278.11,6,29.09,2,6,4,32.46,3,2,1,6,1,0.95,Crítico,Atendimento imediato + comunicação proativa
59,Sudeste,48,572.01,6,14.77,1,10,1,32.66,2,0,9,1,0,0.25,Regular,Fluxo padrão
41,Centro-Oeste,80,244.92,6,0.38,2,7,5,48.26,2,2,8,6,1,1.0,Crítico,Atendimento imediato + comunicação proativa
40,Sul,37,180.12,3,7.45,6,6,2,14.12,1,2,5,6,1,0.82,Crítico,Atendimento imediato + comunicação proativa
43,Sul,75,193.84,4,8.65,10,11,2,51.39,3,1,9,3,0,0.7,Atenção,Monitorar pedido + contato preventivo
53,Sul,82,382.09,2,71.83,9,6,4,45.79,2,2,11,6,1,0.98,Crítico,Atendimento imediato + comunicação proativa
59,Nordeste,64,609.0,2,31.27,7,2,1,35.11,2,2,6,5,1,0.69,Atenção,Monitorar pedido + contato preventivo
64,Centro-Oeste,56,425.3,1,31.16,8,13,3,32.52,2,1,7,3,1,0.96,Crítico,Atendimento imediato + comunicação proativa
50,Sul,81,578.34,3,28.67,5,2,0,38.37,1,0,2,0,0,0.16,Regular,Fluxo padrão
60,Nordeste,6,248.21,4,8.05,6,8,3,45.04,1,1,3,3,1,0.89,Crítico,Atendimento imediato + comunicação proativa
36,Nordeste,99,685.66,3,18.51,3,14,4,42.81,3,2,0,5,1,0.95,Crítico,Atendimento imediato + comunicação proativa
42,Nordeste,27,675.26,6,28.5,2,7,1,24.72,3,1,2,4,0,0.59,Atenção,Monitorar pedido + contato preventivo
66,Nordeste,25,335.86,6,7.82,5,8,3,38.42,1,1,3,5,1,0.98,Crítico,Atendimento imediato + comunicação proativa
37,Centro-Oeste,21,317.48,4,43.07,10,7,2,51.39,3,0,8,2,1,0.46,Monitoramento,Acompanhar indicadores operacionais
35,Sudeste,75,568.76,6,36.58,3,4,5,41.82,2,2,3,5,1,0.97,Crítico,Atendimento imediato + comunicação proativa
20,Sudeste,97,225.35,6,39.43,3,10,1,20.51,1,0,0,2,0,0.33,Monitoramento,Acompanhar indicadores operacionais
31,Sudeste,80,329.96,3,22.66,2,6,3,44.38,1,1,6,2,0,0.58,Atenção,Monitorar pedido + contato preventivo
31,Sudeste,70,791.46,1,10.45,8,6,3,40.06,2,2,4,4,1,0.9,Crítico,Atendimento imediato + comunicação proativa
19,Sudeste,58,589.08,2,86.68,6,3,2,32.13,3,1,1,4,1,0.54,Atenção,Monitorar pedido + contato preventivo
32,Centro-Oeste,17,373.43,2,9.42,5,3,5,39.86,2,1,6,3,1,0.95,Crítico,Atendimento imediato + comunicação proativa
46,Sudeste,10,321.49,1,96.07,7,9,2,51.48,1,3,4,5,1,0.91,Crítico,Atendimento imediato + comunicação proativa
35,Norte,108,843.11,5,3.37,3,2,2,48.89,3,2,11,4,1,0.9,Crítico,Atendimento imediato + comunicação proativa
21,Nordeste,10,891.78,6,4.0,9,10,0,14.96,1,1,1,1,0,0.21,Regular,Fluxo padrão
48,Sudeste,41,957.71,5,19.6,9,2,1,30.54,1,1,7,4,0,0.57,Atenção,Monitorar pedido + contato preventivo
64,Norte,28,359.49,2,11.01,11,9,0,26.18,2,2,9,3,1,0.38,Monitoramento,Acompanhar indicadores operacionais
27,Centro-Oeste,30,284.43,2,44.76,7,7,1,32.46,3,0,2,1,0,0.21,Regular,Fluxo padrão
25,Sudeste,57,293.61,3,47.72,11,12,1,44.57,3,1,9,6,1,0.77,Crítico,Atendimento imediato + comunicação proativa
63,Sul,32,106.57,3,8.71,6,5,2,66.44,3,2,8,5,1,0.94,Crítico,Atendimento imediato + comunicação proativa
53,Norte,104,678.18,4,28.51,5,9,2,35.02,2,1,10,4,1,0.74,Atenção,Monitorar pedido + contato preventivo
20,Norte,60,179.58,1,76.07,5,3,2,34.17,3,3,8,5,1,0.89,Crítico,Atendimento imediato + comunicação proativa
63,Centro-Oeste,56,243.47,2,38.99,7,13,2,45.27,1,1,5,4,1,0.76,Crítico,Atendimento imediato + comunicação proativa
52,Norte,95,819.13,2,10.11,2,11,1,44.86,2,3,5,7,1,0.87,Crítico,Atendimento imediato + comunicação proativa
25,Norte,56,312.04,3,9.09,6,7,0,12.04,3,0,4,2,0,0.42,Monitoramento,Acompanhar indicadores operacionais
56,Centro-Oeste,63,419.32,3,6.0,8,3,4,43.58,2,0,3,3,1,0.92,Crítico,Atendimento imediato + comunicação proativa
46,Sul,51,140.63,6,10.15,2,8,0,19.05,2,4,10,6,1,0.94,Crítico,Atendimento imediato + comunicação proativa
36,Norte,50,625.97,5,64.98,8,9,1,40.12,2,1,11,3,1,0.65,Atenção,Monitorar pedido + contato preventivo
25,Centro-Oeste,42,161.36,4,17.76,3,7,3,34.63,2,3,6,4,1,0.88,Crítico,Atendimento imediato + comunicação proativa
63,Centro-Oeste,118,403.59,1,28.73,11,2,2,46.69,3,0,9,2,1,0.62,Atenção,Monitorar pedido + contato preventivo
50,Centro-Oeste,28,616.17,2,23.0,8,4,2,52.94,3,0,7,6,1,0.78,Crítico,Atendimento imediato + comunicação proativa
66,Sul,23,526.92,4,1.39,10,2,2,41.45,3,1,6,4,1,0.68,Atenção,Monitorar pedido + contato preventivo
33,Nordeste,97,248.31,5,17.71,7,6,1,48.43,1,1,7,3,1,0.47,Monitoramento,Acompanhar indicadores operacionais
65,Sul,22,310.54,6,3.49,2,4,2,24.61,2,0,4,3,1,0.82,Crítico,Atendimento imediato + comunicação proativa
58,Centro-Oeste,52,196.9,2,5.63,11,8,2,34.77,1,2,11,5,1,0.96,Crítico,Atendimento imediato + comunicação proativa
35,Centro-Oeste,92,211.04,1,30.35,8,3,1,25.04,3,3,8,5,1,0.77,Crítico,Atendimento imediato + comunicação proativa
42,Sul,102,908.39,4,26.94,9,4,1,44.67,1,1,2,2,0,0.27,Regular,Fluxo padrão
54,Sul,30,66.57,1,21.54,4,2,4,22.62,2,1,11,4,1,0.95,Crítico,Atendimento imediato + comunicação proativa
67,Sul,78,484.34,1,25.45,4,6,1,36.47,3,2,2,3,0,0.39,Monitoramento,Acompanhar indicadores operacionais
21,Sudeste,4,68.73,6,39.5,11,9,2,45.93,3,2,5,5,1,0.89,Crítico,Atendimento imediato + comunicação proativa
58,Sudeste,11,71.39,4,4.12,10,10,4,41.94,2,1,5,4,1,0.95,Crítico,Atendimento imediato + comunicação proativa
65,Nordeste,6,348.48,3,123.3,6,14,2,46.72,3,1,7,2,0,0.49,Monitoramento,Acompanhar indicadores operacionais
22,Norte,19,307.3,6,7.7,7,9,3,20.07,1,1,6,4,1,0.87,Crítico,Atendimento imediato + comunicação proativa
59,Centro-Oeste,98,340.23,3,48.81,5,8,3,25.09,2,2,0,4,1,0.91,Crítico,Atendimento imediato + comunicação proativa
36,Sudeste,6,164.11,2,18.91,6,8,1,30.45,1,1,11,2,0,0.42,Monitoramento,Acompanhar indicadores operacionais
31,Centro-Oeste,60,366.07,6,14.83,3,3,3,33.67,2,3,10,6,1,0.99,Crítico,Atendimento imediato + comunicação proativa
40,Nordeste,48,121.36,6,20.14,11,13,2,41.34,2,2,7,6,1,0.93,Crítico,Atendimento imediato + comunicação proativa
28,Sul,31,406.72,1,9.23,8,8,2,47.92,2,4,10,6,1,0.95,Crítico,Atendimento imediato + comunicação proativa
59,Centro-Oeste,26,245.56,6,21.38,6,5,2,36.76,3,2,9,4,1,0.86,Crítico,Atendimento imediato + comunicação proativa
67,Sudeste,117,496.5,5,36.04,9,2,2,26.77,1,0,8,1,0,0.52,Atenção,Monitorar pedido + contato preventivo
